Rank,City,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
194,Thessaloniki,47.5,58.1,46.9,13.5,28.7,56.1,88.4,2025
227,Thessaloniki,48,58.4,53.4,13.9,28.1,54.7,88.4,2026
238,Thiruvananthapuram,61,63.4,19.4,9.7,40.9,56.4,64.8,2026
106,Timisoara,75.6,71.9,36.7,10.9,23.5,56.2,82,2023
85,Timisoara,74.3,71.2,38.7,10.2,23.9,56.2,82,2024
110,Timisoara,74.5,71.4,34.7,8.5,24.3,55.9,82,2025
135,Timisoara,74.6,71.4,41.3,9,24.7,55.3,82,2026
216,Tirana,57.7,48,41,17.5,38.5,86.5,86.4,2023
178,Tirana,58.6,48.5,44.6,16.7,39,86.6,86.4,2024
240,Tirana,59.4,47.1,42.2,16.6,39,87,86.4,2025
277,Tirana,60.2,47.3,49.5,16.9,38.4,87,86.4,2026
83,Tokyo,75.4,79.9,73.7,12.6,41.6,43,85.3,2023
35,Tokyo,75.9,78.6,57.4,11.9,39.9,42.2,85.3,2024
96,Tokyo,75.3,79.2,51.1,16,42.9,42.6,85.3,2025
110,Tokyo,74.9,78.7,54.2,15.2,42.7,43,85.3,2026
114,Toronto,57.8,75.6,73,12.9,44.8,37.5,65.3,2023
99,Toronto,56.9,74.8,71.6,13.9,44.3,37.3,65.3,2024
124,Toronto,56.6,74,61.4,12.6,44.6,37.8,65.3,2025
143,Toronto,56.5,74.1,67.5,11.4,44.6,37.5,65.3,2026
68,Toulouse,50.3,84,58.5,7.2,32.8,39,91.9,2025
97,Toulouse,50.2,79.4,69.1,8.3,32.3,39,91.9,2026
139,Trieste,72.4,64.5,61.8,8.6,28.8,47.6,92.6,2026
55,Trondheim,79.3,74.4,76.8,11.7,29.5,20.7,66.7,2025
26,Trondheim,78.9,75.8,84.9,6.6,31,20.7,66.7,2026
40,Tucson,45.7,61.3,78.2,3,31.9,29.9,72.7,2024
63,Tucson,45.6,61.3,63.1,3.6,27.3,28,72.7,2025
60,Tucson,45.3,61.3,64,3.9,29.4,29,72.7,2026
52,Tulsa,48,68.7,65,2.6,33.5,31.7,79.3,2026
268,Tunis,51.5,56,30.7,13.8,37,74,93.2,2026
151,Turin,47.9,67,61.2,8.2,28.1,68.2,85.7,2023
126,Turin,48.7,66.6,59.6,8.4,27.8,68.5,85.7,2024
163,Turin,47.9,66,51.3,8.1,28.1,68.4,85.7,2025
196,Turin,48.1,65.5,60.1,8.2,27.8,67.8,85.7,2026
7,Utrecht,74.2,80.6,60.2,7.4,23.5,23.2,87.2,2025
2,Utrecht,79,85.6,77.3,7.1,21.7,22.7,87.2,2026
70,Valencia,68.2,79.8,51.4,8.1,28.8,44,93.8,2023
5,Valencia,70.2,79.9,45.1,4.3,23.7,24.6,93.8,2024
19,Valencia,67,80,41.5,6.9,23.4,24.9,93.8,2025
13,Valencia,65.3,81.7,50.3,8.4,19.7,21.3,93.8,2026
55,Vancouver,60.4,73.9,71.7,12.9,36.6,25.4,91.2,2023
70,Vancouver,58,72.1,74.4,16.5,38.2,27,91.2,2024
84,Vancouver,57,71.8,62.7,12.7,36.7,25.7,91.2,2025
87,Vancouver,57.3,71.7,67.5,11.9,36,25.5,91.2,2026
139,Varna,63.3,62.2,40.1,9.2,29.3,60.9,85.1,2023
111,Varna,64.5,63.7,38.4,9.3,28.9,59.9,85.1,2024
156,Varna,65,63.8,35.7,10.1,29.1,59.5,85.1,2025
193,Varna,65.6,64,45.5,10.9,28.7,59.4,85.1,2026
47,Victoria,60.4,66.9,75,12.5,31.5,17.3,92.5,2023
82,Victoria,58.8,66.4,76.7,18.8,34.9,21,92.5,2024
98,Victoria,58.7,65.8,63.8,13.2,32.9,22.2,92.5,2025
84,Victoria,60.6,65.6,68.7,9.2,32.4,22.5,92.5,2026
3,Vienna,73.1,79.2,61.8,11.5,24.5,16.7,81.8,2023
7,Vienna,70.3,79,66.2,12.5,23,17.5,81.8,2024
27,Vienna,69.7,80,61.2,14.9,22.3,16.1,81.8,2025
7,Vienna,71.6,81.8,73.9,12.6,21.5,15.6,81.8,2026
41,Villach,71.7,69,65.9,7.6,16.5,35.1,75.9,2026
85,Vilnius,72.4,74,51.6,13.4,27.3,22.8,66.6,2023
42,Vilnius,72.6,75.6,50.2,13.1,26.4,25.2,66.6,2024
82,Vilnius,72.6,76.2,45.2,13.6,26.1,25.2,66.6,2025
91,Vilnius,69.9,76.5,53,13,25.8,23.5,66.6,2026
147,Warsaw,73.9,59.8,44,14.4,35.2,59.6,74.6,2023
112,Warsaw,73.8,58.2,46,12.5,35.5,61.3,74.6,2024
150,Warsaw,74.5,58.2,42.7,13.5,34.8,59.9,74.6,2025
182,Warsaw,74.6,58.4,53.5,12.7,34.8,59.7,74.6,2026
80,Washington,39.9,69.9,83.8,5.5,40.5,40.2,81.6,2023
75,Washington,38.9,64.2,84.8,6.4,51.8,49.4,81.6,2024
89,Washington,39.6,70.4,78.7,5.2,41.2,42.1,81.6,2025
105,Washington,40.2,71,87.3,4.8,41.2,42.1,81.6,2026
56,Wellington,67.6,66.9,77.9,12.9,34.7,19,97.7,2023
73,Wellington,66.2,63,73.3,14.5,47.2,26.9,97.7,2024
40,Wellington,67.1,64.9,59.3,10.3,38.9,23.1,97.7,2025
44,Wellington,66.7,64.7,63,9.1,39.4,25.1,97.7,2026
171,Windhoek,32.4,67.4,37.4,4.9,23.7,34.3,85,2026
144,Winnipeg,41.2,68.4,65.7,6.1,31.2,36.6,24.7,2023
120,Winnipeg,39.9,68.3,66,5.8,31.3,36.9,24.7,2024
147,Winnipeg,39.5,68.3,55,5.9,31.3,35.7,24.7,2025
177,Winnipeg,39.2,68.5,59.8,4.4,31.6,35.5,24.7,2026
145,Wroclaw,73.7,56.7,41.1,12.5,34.5,61.3,78.4,2023
119,Wroclaw,71.4,54.5,43.1,11.2,35.6,65.1,78.4,2024
157,Wroclaw,73.8,57.4,39.9,12.6,34,61.5,78.4,2025
187,Wroclaw,74.7,57.5,49.4,11.7,34.8,61.6,78.4,2026
213,Yekaterinburg,53.6,51.1,42,9.2,37.8,73.5,21.3,2023
177,Yekaterinburg,54,53,29.8,12.7,37.5,71.3,21.3,2024
235,Yekaterinburg,55.5,53.9,22.8,13.2,38.7,68.9,21.3,2025
273,Yekaterinburg,57,53.7,40.7,11.6,38.9,69.4,21.3,2026
177,Yerevan,78.1,55.6,41.7,16.6,31,58.3,63.4,2023
149,Yerevan,77.4,57.3,40.2,18.3,30.5,59.6,63.4,2024
220,Yerevan,77.8,59,40.3,22,30.5,61.6,63.4,2025
259,Yerevan,77.8,59.6,42.4,21.8,30.5,61.3,63.4,2026
99,Zagreb,77.6,63.5,51,14.2,32,33.5,82.2,2023
59,Zagreb,78.3,64.5,49.7,13.8,30.3,33.6,82.2,2024
81,Zagreb,78.6,64.9,43.1,11.4,29.9,33.9,82.2,2025
101,Zagreb,78.6,64.9,53.7,11.7,29.7,35.4,82.2,2026
5,Zurich,81.7,74.1,120.8,11.2,32.7,17.8,81.5,2023
11,Zurich,77.8,70,118.3,13.6,41.1,23.2,81.5,2024
22,Zurich,76.7,69.4,103.8,14.4,38.1,24.9,81.5,2025
24,Zurich,76.6,70.6,118.5,13.1,36.9,24.5,81.5,2026
